epoch,phase,train_loss,lr,latency_ms,accuracy,precision_macro,recall_macro,f1_macro,mean_iou,latency_mean_ms
1,phase1_head,1.422286353076574,0.01,158.68011162886611,0.6362264150943396,0.6359393783902537,0.636808452416663,0.6217587202708255,0.48548169132816565,1.450653018867617
2,phase1_head,0.9589588610896587,0.01,154.63499843814444,0.6452830188679245,0.6393973301967719,0.6475220768951211,0.6315225742009843,0.5254665200468505,1.4376413184907437
3,phase1_head,0.8294268836585764,0.01,153.60641676804133,0.6535849056603774,0.6625460853470794,0.6546703040310581,0.6576061388156588,0.534654235593219,1.4480474332076654
4,phase1_head,0.6955877372788728,0.01,155.14294378865964,0.6671698113207547,0.6674409813692547,0.6676803145670466,0.6575447703358337,0.5186871826761174,1.4520366686794557
5,phase1_head,0.5786127440757874,0.01,157.87850743299012,0.6452830188679245,0.6510663539549046,0.6504220731676884,0.6447793658573552,0.5202303075235126,1.452458331320726
6,phase1_head,0.4799435456144106,0.01,150.84559989690703,0.6656603773584906,0.6631802105598897,0.6663416725354525,0.6642724348959981,0.5356061957092991,1.452392390188954
7,phase2_full,0.6465865917762827,0.0005,224.71576905670108,0.8075471698113208,0.805683462643126,0.8076184811188153,0.8056858029944008,0.5661501396886723,1.450527366792246
8,phase2_full,0.28739385647261056,0.0005,216.8598439639179,0.8249056603773585,0.8337772914166441,0.8249783173470563,0.8265773235981204,0.5914280438521561,1.4489849366038539
9,phase2_full,0.19485781406961147,0.0005,216.64575617010308,0.8528301886792453,0.8558363091195392,0.8528675133602069,0.8514069241543304,0.608911423118047,1.4492827584902288
10,phase2_full,0.14868339748937176,0.0005,216.92435781443288,0.8566037735849057,0.8669923144919718,0.8531091074667604,0.8555114710729667,0.6192820263077627,1.4505343071707686
11,phase2_full,0.13883420541918653,0.0005,216.90512653092753,0.8633962264150944,0.8668827403155486,0.8630035476845206,0.8619797881613926,0.6264042915431959,1.4518586422633784
12,phase2_full,0.11932688222214784,0.0005,217.05099764433015,0.8769811320754717,0.8794948711132559,0.8776932249302073,0.877674314995906,0.6174951619823587,2.315255277736246
13,phase2_full,0.09134987583542024,0.0005,217.80118440721694,0.8732075471698113,0.8725710675794843,0.8742136289699081,0.872814819038086,0.6344777390459236,1.4500804716979747
14,phase2_full,0.077178302900557,0.0005,216.54881170103022,0.8588679245283019,0.8614328833018673,0.858936211074598,0.8596717580215862,0.6155380449996479,1.4521777532073035
15,phase2_full,0.07339352753582556,0.0005,217.21956859793872,0.8830188679245283,0.8843353414042708,0.8830191120052545,0.8832463255346988,0.6315747901973016,1.4510733773581792
16,phase2_full,0.11345743110995189,0.0005,217.19823058247385,0.8784905660377359,0.8795190767109183,0.8798035411674723,0.8786795129374024,0.6286199724547705,1.4956903962258434
17,phase2_full,0.09716008137384537,0.0005,217.74317910824757,0.8090566037735849,0.8428715037517558,0.8089977421813552,0.8070357660175919,0.630286233048394,1.4527958988682652
18,phase2_full,0.06734050508940904,0.0005,217.31035106701063,0.8913207547169811,0.8935764050599907,0.8925087736912213,0.8921301145322491,0.6422190888078426,1.4510416226410185
19,phase2_full,0.06532285822767737,0.0005,216.7775718556704,0.8958490566037736,0.8963339859682302,0.8968010775114384,0.8955920681691503,0.6485247177813414,1.4518556920755248
20,phase2_full,0.06671029690445289,0.0005,222.9757368608245,0.8928301886792452,0.8925786480924687,0.8932911705367843,0.8921202989321667,0.6496272953009268,1.448635668680511
21,phase2_full,0.05731976346482456,0.0005,217.41896730412395,0.8996226415094339,0.8998811727116462,0.9000586654626772,0.8993176907266163,0.6520709657134874,1.4513978883019691
22,phase2_full,0.044511923126322225,0.0005,217.18211653608273,0.9033962264150943,0.9031546591435429,0.90413930344034,0.9035225470585155,0.6550494485646311,1.4482329592453236
