epoch,train_loss,latency_ms,accuracy,precision_macro,recall_macro,f1_macro,mean_iou,latency_mean_ms
1,0.6597257834641017,267.8954385751296,0.8416220351951033,0.8453232147984622,0.8433814903280036,0.843594140219343,0.43187445995106427,3.075018956388831
2,0.20673984255445885,280.4542063937826,0.8974751338944147,0.9018814991151907,0.9004536938507597,0.9004245914290474,0.5307992110891067,3.056626127008803
3,0.13602202599850047,279.5839577720206,0.9127773527161438,0.9131586329165833,0.9161892325077557,0.9142170996743353,0.5846671754516221,3.050350123182788
4,0.093668530079295,279.5936749792746,0.9227237949502678,0.9232402165431675,0.926254329408805,0.9235171855891892,0.6094505557246711,3.054968704667168
5,0.07843506649997155,279.3498162538857,0.9303749043611323,0.9296094169882755,0.9333003469294159,0.9306528130527882,0.6279727750341675,3.0521308645748912
6,0.07657921177774454,283.1865297797932,0.9035960214231064,0.9119835109001345,0.9094691823137282,0.9071009402493081,0.596749116519114,3.0533701063502052
7,0.07341022930657376,279.50685610103636,0.9326702371843917,0.9353692362953476,0.9339430384927001,0.9344507753972003,0.6610361946776635,3.045755760520961
8,0.05497516686849823,279.4945127746117,0.9456771231828616,0.9467894573995173,0.9469183202738091,0.9467822783705362,0.6783758424929334,3.0544067192044677
9,0.051330190755083605,279.0224114041454,0.9456771231828616,0.9450154397343364,0.9481459477866961,0.9460984855640884,0.686411591935062,3.0563721300695037
10,0.053122487685496274,279.2917031917092,0.9127773527161438,0.9176622592439031,0.913804393980528,0.9143606961958941,0.6689831890884071,3.0540921675568
11,0.04915026747932843,279.42508945336743,0.9127773527161438,0.9171028429593526,0.9154365705825318,0.913463463504329,0.6703957044722565,3.0577504445310133
12,0.045601619946625926,284.2264902772023,0.9403213465952563,0.9407324480261957,0.9426854237740196,0.9412726308991095,0.6925528095785725,3.0532454575341097
13,0.028361197811836047,279.1977480803108,0.9472073450650345,0.9487459321145376,0.94949985682168,0.9488704966636833,0.711415595026557,3.0522332991587753
14,0.014999783547724476,279.25271750259077,0.9487375669472073,0.9490718366452369,0.9511893911752818,0.9498094627774389,0.724305435400898,3.051205029075057
15,0.015223776375286227,279.2527838937826,0.9602142310635042,0.9604146060509754,0.9620570215527579,0.9610623581009603,0.7280189632584199,3.057247852333159
16,0.010921928161932886,279.16788123056995,0.9586840091813313,0.960076248491083,0.9604007329546252,0.9601852702466177,0.7374273453224179,3.056606723030151
17,0.014227741443244457,279.2374654378232,0.9395562356541699,0.9406242167155877,0.9418644659337989,0.9404035665865902,0.7311010652883713,3.053223635043778
18,0.019636520422393146,284.2525819326433,0.9525631216526397,0.9532253255569788,0.9540661366668337,0.9536280411866782,0.7176619432232391,3.8222355853097576
19,0.01814749565683813,279.5268124300515,0.9609793420045907,0.9619205839194102,0.9615760867915901,0.9617334532338694,0.7363239242349678,3.055876466717688
20,0.013452575822456908,279.38737545336755,0.9502677888293802,0.9515542416061447,0.9520154842113836,0.9517318055959609,0.743993486259945,3.0532488684005386
