epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3019.95,0.66494,0.45335,0.89937,0.98148,0.97186,0.9908,0.8493,0.58944,0.30577,0.85802,0.000547306,0.000547306,0.000547306
43,3090.94,0.66544,0.45716,0.90041,0.98698,0.97263,0.99285,0.84976,0.59083,0.29887,0.85912,0.000533558,0.000533558,0.000533558
44,3161.88,0.66531,0.45332,0.90199,0.98039,0.97769,0.9936,0.85449,0.58534,0.29204,0.85712,0.000519809,0.000519809,0.000519809
45,3232.68,0.66709,0.4449,0.90031,0.98479,0.97932,0.99343,0.85299,0.58733,0.28633,0.85637,0.00050606,0.00050606,0.00050606
46,3303.64,0.65138,0.43401,0.89465,0.98983,0.97905,0.99334,0.85063,0.5876,0.29004,0.85746,0.000492312,0.000492312,0.000492312
47,3374.7,0.65463,0.43622,0.89696,0.98889,0.97928,0.99365,0.85378,0.57935,0.28189,0.85697,0.000478563,0.000478563,0.000478563
48,3445.75,0.65744,0.43968,0.89501,0.98472,0.9834,0.99229,0.85122,0.5838,0.28414,0.85592,0.000464815,0.000464815,0.000464815
49,3516.67,0.65404,0.42339,0.89459,0.99013,0.9756,0.99424,0.85381,0.58404,0.28133,0.85499,0.000451066,0.000451066,0.000451066
50,3587.53,0.65348,0.42287,0.89377,0.98879,0.98524,0.99255,0.85749,0.57607,0.27839,0.85379,0.000437317,0.000437317,0.000437317
51,3658.47,0.6471,0.42853,0.8923,0.97533,0.98728,0.99376,0.858,0.57609,0.27737,0.85258,0.000423569,0.000423569,0.000423569
52,3729.33,0.65133,0.42465,0.89451,0.99146,0.98682,0.99393,0.85705,0.57667,0.27431,0.8532,0.00040982,0.00040982,0.00040982
53,3800.14,0.64398,0.42004,0.89046,0.98318,0.98615,0.99408,0.85781,0.57635,0.27675,0.85352,0.000396071,0.000396071,0.000396071
54,3871.04,0.64825,0.41593,0.89438,0.99132,0.98306,0.99254,0.85425,0.57886,0.27453,0.85554,0.000382323,0.000382323,0.000382323
55,3941.88,0.63858,0.41161,0.88844,0.99369,0.98266,0.99449,0.85531,0.57301,0.26831,0.85276,0.000368574,0.000368574,0.000368574
56,4013.03,0.64099,0.41289,0.89318,0.99244,0.98076,0.99424,0.85413,0.57682,0.27048,0.85276,0.000354826,0.000354826,0.000354826
57,4083.78,0.63741,0.41355,0.88729,0.98808,0.98443,0.99446,0.85623,0.57562,0.27278,0.85189,0.000341077,0.000341077,0.000341077
58,4154.43,0.63687,0.40672,0.88905,0.99402,0.98302,0.99458,0.85649,0.57425,0.26703,0.85279,0.000327328,0.000327328,0.000327328
59,4225.24,0.63003,0.40153,0.89015,0.9925,0.97935,0.99454,0.85744,0.57079,0.26581,0.8519,0.00031358,0.00031358,0.00031358
60,4296.3,0.64185,0.41021,0.88951,0.98689,0.98286,0.99378,0.86038,0.57003,0.26928,0.84997,0.000299831,0.000299831,0.000299831
61,4367.48,0.63704,0.40444,0.89058,0.98646,0.98626,0.9941,0.8616,0.56835,0.26464,0.85021,0.000286083,0.000286083,0.000286083
62,4438.55,0.63679,0.40219,0.88846,0.98889,0.98658,0.99444,0.86194,0.56685,0.26021,0.84928,0.000272334,0.000272334,0.000272334
63,4509.61,0.63655,0.39937,0.8898,0.98727,0.98757,0.9947,0.86047,0.57017,0.25952,0.84973,0.000258585,0.000258585,0.000258585
64,4580.76,0.62446,0.39012,0.88406,0.98246,0.98801,0.99438,0.86033,0.56929,0.25968,0.84844,0.000244837,0.000244837,0.000244837
65,4652.02,0.62659,0.38974,0.88557,0.98705,0.9886,0.99443,0.8608,0.5665,0.25802,0.84813,0.000231088,0.000231088,0.000231088
66,4722.75,0.62386,0.39137,0.88489,0.99105,0.98187,0.99446,0.86111,0.5698,0.25892,0.84948,0.000217339,0.000217339,0.000217339
67,4793.89,0.61497,0.38028,0.87874,0.98774,0.9864,0.99447,0.8601,0.56844,0.25977,0.84973,0.000203591,0.000203591,0.000203591
68,4865.04,0.62025,0.38203,0.87977,0.98605,0.98717,0.99432,0.86156,0.56688,0.2601,0.84921,0.000189842,0.000189842,0.000189842
69,4936.67,0.62205,0.37487,0.88358,0.9885,0.98627,0.99452,0.85877,0.5669,0.25622,0.85029,0.000176094,0.000176094,0.000176094
70,5007.91,0.62242,0.38312,0.88315,0.98965,0.98643,0.99435,0.86163,0.56603,0.25551,0.84896,0.000162345,0.000162345,0.000162345
71,5080.51,0.56323,0.27468,0.85338,0.98749,0.98497,0.99424,0.85949,0.56989,0.26264,0.85197,0.000148596,0.000148596,0.000148596
72,5151.41,0.55914,0.27043,0.85407,0.99065,0.98636,0.99434,0.86137,0.56714,0.2582,0.85079,0.000134848,0.000134848,0.000134848
73,5222.21,0.55557,0.26787,0.8511,0.98966,0.98512,0.99434,0.86008,0.56934,0.25624,0.85035,0.000121099,0.000121099,0.000121099
74,5293.12,0.55021,0.26323,0.84936,0.98579,0.98787,0.99421,0.86091,0.56674,0.25434,0.8488,0.00010735,0.00010735,0.00010735
75,5363.67,0.55579,0.26397,0.85083,0.99045,0.98412,0.99427,0.86209,0.56444,0.2532,0.84809,9.36017e-05,9.36017e-05,9.36017e-05
76,5434.23,0.54929,0.25994,0.84683,0.99076,0.98535,0.99441,0.86257,0.56542,0.25329,0.84857,7.98531e-05,7.98531e-05,7.98531e-05
77,5504.59,0.54669,0.25821,0.8483,0.99172,0.9836,0.99439,0.86294,0.56435,0.2533,0.84882,6.61045e-05,6.61045e-05,6.61045e-05
78,5575.27,0.5442,0.25949,0.84523,0.99152,0.98377,0.99444,0.86212,0.56505,0.25434,0.84944,5.23559e-05,5.23559e-05,5.23559e-05
79,5646.3,0.54331,0.25432,0.8453,0.9909,0.9843,0.99442,0.86156,0.56382,0.25349,0.84893,3.86073e-05,3.86073e-05,3.86073e-05
80,5716.88,0.54013,0.25247,0.84612,0.98981,0.98431,0.99442,0.86184,0.56276,0.2532,0.8483,2.48586e-05,2.48586e-05,2.48586e-05
